freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
13.45-13.55,0.0135-0.0136,kHz,FIXED | Mobile except aeronautical mobile (R) | Radiolocation 5.132A,,FIXED | Mobile except aeronautical mobile (R) | Radiolocation 5.132A,FIXED | Radiolocation 5.132A,US340,,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.55-13.57,0.0136-0.0136,kHz,,,FIXED | Mobile except aeronautical mobile (R),FIXED,5.150 US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.75-14,0.0138-0.0140,kHz,,,,RADIOLOCATION G59 | Standard frequency and time | signal-satellite (Earth-to-space) | Space research US337,US356 US357,FIXED-SATELLITE | (Earth-to-space) US337 | Standard frequency and time | signal-satellite (Earth-to-space) | Space research | Radiolocation,US356 US357,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
13.87-14,0.0139-0.0140,kHz,,,FIXED | Mobile except aeronautical mobile (R),FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14-19.95,0.0140-0.0199,kHz,,,,FIXED | MARITIME MOBILE 5.57,US2,Fixed,US2,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14-14.35,0.0140-0.0143,kHz,,,,AMATEUR | AMATEUR-SATELLITE,US340,,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14-14.2,0.0140-0.0142,kHz,,,,Space research US133,,FIXED-SATELLITE (Earth-to-space) | Mobile-satellite (Earth-to-space) | Space research,NG527A US133,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.2-14.4,0.0142-0.0144,kHz,,,,,,FIXED-SATELLITE (Earth-to-space) | Mobile-satellite (Earth-to-space),NG527A,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.25-14.35,0.0143-0.0143,kHz,,,,AMATEUR,US340,,,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.3-14.4,0.0143-0.0144,kHz,FIXED-SATELLITE (Earth-to-space) | Mobile-satellite (Earth-to-space) 5.506A | Radionavigation-satellite,5.457A 5.484A 5.484B 5.506 5.506B 5.504A,FIXED | FIXED-SATELLITE (Earth-to-space) | MOBILE except aeronautical mobile | Mobile-satellite (Earth-to-space) | Radionavigation-satellite,,,,,"GPS receivers, GNSS devices; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.35-14.99,0.0143-0.0150,kHz,,,FIXED | Mobile except aeronautical mobile (R),FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.4-14.47,0.0144-0.0145,kHz,,,,Fixed | Mobile,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.47-14.5,0.0145-0.0145,kHz,,,,Fixed | Mobile,US113 US133 US342,FIXED-SATELLITE (Earth-to-space) | Mobile-satellite (Earth-to-space),NG527A US113 US133 US342,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.5-14.7145,0.0145-0.0147,kHz,,,,FIXED | Mobile | Space research 5.509G,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.7145-14.8,0.0147-0.0148,kHz,,,,MOBILE | Fixed | Space research 5.509G,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
14.8-15.1365,0.0148-0.0151,kHz,,,,MOBILE | SPACE RESEARCH | Fixed,US310,,US310,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
15.1-15.8,0.0151-0.0158,kHz,,,,BROADCASTING 5.134,US136 US340,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
15.1365-15.35,0.0151-0.0153,kHz,,,,FIXED | SPACE RESEARCH | Mobile,5.339 US211,,5.339 US211,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
15.35-15.4,0.0153-0.0154,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
15.4-15.43,0.0154-0.0154,kHz,,,,RADIOLOCATION 5.511E | AERONAUTICAL | RADIONAVIGATION US260,5.511F US511E US211,AERONAUTICAL | RADIONAVIGATION US260,US211 US511E,"GPS receivers, GNSS devices; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
15.43-15.63,0.0154-0.0156,kHz,,,,RADIOLOCATION 5.511E | AERONAUTICAL | RADIONAVIGATION US260,5.511F US511E 5.511C US211 US359,FIXED-SATELLITE (Earth-to-space) | AERONAUTICAL | RADIONAVIGATION US260,5.511C US211 US359 US511E,"GPS receivers, GNSS devices; Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
15.63-15.7,0.0156-0.0157,kHz,,,,RADIOLOCATION 5.511E | AERONAUTICAL | RADIONAVIGATION US260,5.511F US511E US211,AERONAUTICAL | RADIONAVIGATION US260,US211 US511E,"GPS receivers, GNSS devices; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
15.7-16.6,0.0157-0.0166,kHz,,,,RADIOLOCATION G59,,Radiolocation,,"Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
15.8-16.1,0.0158-0.0161,kHz,,,,FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
16.1-16.2,0.0161-0.0162,kHz,FIXED | RADIOLOCATION 5.145A,,FIXED | Radiolocation 5.145A,FIXED | RADIOLOCATION 5.145A,US340,,,"Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
16.2-16.36,0.0162-0.0164,kHz,,,,FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
16.36-17.41,0.0164-0.0174,kHz,,,,MARITIME MOBILE 5.109 5.110 5.132 5.145 US82,US296 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
16.6-17.1,0.0166-0.0171,kHz,,,,RADIOLOCATION G59 | Space research (deep space) | (Earth-to-space),,,,"Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.1-17.2,0.0171-0.0172,kHz,,,,RADIOLOCATION G59,,,,"Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.2-17.3,0.0172-0.0173,kHz,,,,EARTH EXPLORATION- | SATELLITE (active) | RADIOLOCATION G59 | SPACE RESEARCH (active),,Earth exploration-satellite (active) | Radiolocation | Space research (active),,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.3-17.7,0.0173-0.0177,kHz,FIXED-SATELLITE (Earth-to-space) | BROADCASTING-SATELLITE | Radiolocation,5.516 5.514 5.515,FIXED-SATELLITE (Earth-to-space) | Radiolocation,Radiolocation US259 G59,US402 G117,FIXED-SATELLITE (Earth-to-space) | BROADCASTING-SATELLITE,US271 US402 NG163 US259,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.41-17.48,0.0174-0.0175,kHz,,,,FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.48-17.9,0.0175-0.0179,kHz,,,,BROADCASTING 5.134,US136 US340,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.7-17.8,0.0177-0.0178,kHz,FIXED | FIXED-SATELLITE (space-to-Earth) | BROADCASTING-SATELLITE | Mobile,5.517 (Earth-to-space) 5.516 5.515,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE,,US334 G117,FIXED | FIXED-SATELLITE (Earth-to-space),US271 US334,"AM/FM radios, DAB receivers, TV sets; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.8-18.1,0.0178-0.0181,kHz,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE,5.484A (Earth-to-space) 5.516 5.519,,FIXED-SATELLITE (space-to- | Earth) US334 G117,US519,FIXED | Fixed-satellite (space-to-Earth),US334 US519 NG527A,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.9-17.97,0.0179-0.0180,kHz,,,,AERONAUTICAL MOBILE (R),US283 US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
17.97-18.03,0.0180-0.0180,kHz,,,,AERONAUTICAL MOBILE (OR),US340,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.03-18.068,0.0180-0.0181,kHz,,,,FIXED,US340,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.068-18.168,0.0181-0.0182,kHz,,,,,US340,AMATEUR | AMATEUR-SATELLITE,US340,"Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.168-18.78,0.0182-0.0188,kHz,,,,FIXED | Mobile,US340,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.3-18.6,0.0183-0.0186,kHz,,,,FIXED-SATELLITE (space-to- | Earth) US334 G117,US139,FIXED-SATELLITE (space-to-Earth),NG527A US139 US334,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.6-18.8,0.0186-0.0188,kHz,EARTH EXPLORATION- | SATELLITE (passive) | FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical mobile | SPACE RESEARCH (passive),5.516B 5.522B 5.522A,EARTH EXPLORATION- | SATELLITE (passive) | FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical mobile | Space research (passive),EARTH EXPLORATION- | SATELLITE (passive) | FIXED-SATELLITE (space-to- | Earth) US255 US334 G117 | SPACE RESEARCH (passive),US139 US254,EARTH EXPLORATION- | SATELLITE (passive) | FIXED-SATELLITE (space-to-Earth) | SPACE RESEARCH (passive),US255 NG164 NG527A US139 US254 US334,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.78-18.9,0.0188-0.0189,kHz,MARITIME MOBILE US82,US296 US340,,,,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.8-20.2,0.0188-0.0202,kHz,,,,FIXED-SATELLITE (space-to- | Earth) US334 G117,US139,FIXED-SATELLITE (space-to-Earth),NG165 NG527A US139 US334,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.9-19.02,0.0189-0.0190,kHz,BROADCASTING 5.134,US136 US340,,,,,,"AM/FM radios, DAB receivers, TV sets",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
18.90-19.02,0.0189-0.0190,kHz,VLBA Station,,Lat. (N),,,,,,EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
19.02-19.68,0.0190-0.0197,kHz,FIXED,US340,,,,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
19.68-19.8,0.0197-0.0198,kHz,MARITIME MOBILE 5.132,US340,,,,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
19.7-20.1,0.0197-0.0201,kHz,FIXED-SATELLITE (space-to-Earth) | MOBILE-SATELLITE (space-to-Earth),5.484A 5.484B 5.516B 5.527A 5.524 5.525 5.526 5.527 5.528 5.529,FIXED-SATELLITE (space-to-Earth) | Mobile-satellite (space-to-Earth),,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
19.8-19.99,0.0198-0.0200,kHz,FIXED,US340,,,,,,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
